200
field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
iia_sorethroat,form_2a_eligibility_checklist,,radio,"Sore throat?","0, No | 1, Yes",,,,,,"[surveil_group] = '2'",,,,iia,,
iia_myalgia,form_2a_eligibility_checklist,,radio,"Myalgia? (body aches, muscle pain)","0, No | 1, Yes",,,,,,"[surveil_group] = '2'",,,,iia,,
iia_runnynose,form_2a_eligibility_checklist,,radio,"Rhinorrhea/nasal congestion?","0, No | 1, Yes",,,,,,"[surveil_group] = '2'",,,,iia,,
iia_sob,form_2a_eligibility_checklist,,radio,"New or increased shortness of breath?","0, No | 1, Yes",,,,,,"[surveil_group] = '2'",,,,iia,,
ip_test,form_2a_eligibility_checklist,,radio,"Does the subject have a positive laboratory test from this current ED visit?","0, No | 1, Yes",,,,,,"[surveil_group] = '3'",,,,,,
ec_language,form_2a_eligibility_checklist,"Exclusion criteria:
Is this subject:",radio,"Unable to write or speak English(JHHS)/Chinese(CGMH)?","0, No | 1, Yes",,,,,,"([ip_test] = '1') or ([iis_docfever] = '1' or [iis_reportfever] = '1') or ([iia_docfever] = '0' and [iia_reportfever] = '0' and [iia_newcough] = '0' and [iia_headache] = '0' and [iia_sorethroat] = '0' and [iia_myalgia] = '0' and [iia_runnynose] = '0' and [iia_sob] = '0')",,,,exclusion,,
ec_ams,form_2a_eligibility_checklist,,radio,"Unable to provide informed consent?","0, No | 1, Yes",,,,,,"([ip_test] = '1') or ([iis_docfever] = '1' or [iis_reportfever] = '1') or ([iia_docfever] = '0' and [iia_reportfever] = '0' and [iia_newcough] = '0' and [iia_headache] = '0' and [iia_sorethroat] = '0' and [iia_myalgia] = '0' and [iia_runnynose] = '0' and [iia_sob] = '0')",,,,exclusion,,
ec_phone,form_2a_eligibility_checklist,,radio,"Unable to provide telephone number for follow-up?","0, No | 1, Yes",,,,,,"([ip_test] = '1') or ([iis_docfever] = '1' or [iis_reportfever] = '1') or ([iia_docfever] = '0' and [iia_reportfever] = '0' and [iia_newcough] = '0' and [iia_headache] = '0' and [iia_sorethroat] = '0' and [iia_myalgia] = '0' and [iia_runnynose] = '0' and [iia_sob] = '0')",,,,exclusion,,
ec_jail,form_2a_eligibility_checklist,,radio,"Currently incarcerated?","0, No | 1, Yes",,,,,,"([ip_test] = '1') or ([iis_docfever] = '1' or [iis_reportfever] = '1') or ([iia_docfever] = '0' and [iia_reportfever] = '0' and [iia_newcough] = '0' and [iia_headache] = '0' and [iia_sorethroat] = '0' and [iia_myalgia] = '0' and [iia_runnynose] = '0' and [iia_sob] = '0')",,,,exclusion,,
ec_enrolledprev,form_2a_eligibility_checklist,,radio,"Previously enrolled in this study? (current influenza season only)","0, No | 1, Yes",,,,,,"([ip_test] = '1') or ([iis_docfever] = '1' or [iis_reportfever] = '1') or ([iia_docfever] = '0' and [iia_reportfever] = '0' and [iia_newcough] = '0' and [iia_headache] = '0' and [iia_sorethroat] = '0' and [iia_myalgia] = '0' and [iia_runnynose] = '0' and [iia_sob] = '0')",,,,exclusion,,
consent,form_2a_eligibility_checklist,,radio,"Did the subject provide informed consent?","0, No | 1, Yes",,,,,,"[ec_language] = '0' and [ec_ams] = '0' and [ec_phone] = '0' and [ec_jail] = '0' and [ec_enrolledprev] = '0'",,,,,,
biostore,form_2a_eligibility_checklist,,radio,"Did the subject agree to allow us to store bio-specimens for future research?","0, No | 1, Yes",,,,,,"[consent] = '1'",,,,,,
consenter,form_2a_eligibility_checklist,,dropdown,"Subject is eligible.  Coordinator obtaining informed consent?","1, Adam Loudermilk | 2, Michele-Corinne Ako | 3, Rebecca Medina | 4, Breana McBryde | 5, Chelsea Gaviola | 6, Deborah Robertson | 7, Alaina Hergenroeder | 8, Ama Avornu | 9, AJ Cruise | 10, Eugene Ismailov | 11, Wei-Chen Tang | 12, Shi-Heng Liu | 13, Yu-Hui Wang | 14, Yuan-Yuan Chai | 15, Yi-Jen Liao",,autocomplete,,,,"[consent] = '1'",,,,,,
consented_date,form_2a_eligibility_checklist,,text,"Date of informed consent?",,,date_mdy,,,,"[consent] = '1'",,,,,,
noteligible,form_2a_eligibility_checklist,,notes,"Subject is not eligible. Notes?",,,,,,,"[ec_language] = '1' or [ec_ams] = '1' or [ec_phone] = '1' or [ec_jail] = '1' or [ec_enrolledprev] = '1'",,,,,,
enrolldate,form_4a_demographic_and_exposure_information,,text,"Enrollment Date:",,(mm/dd/yyyy),date_mdy,,,,,,,,,,
age,form_4a_demographic_and_exposure_information,,text,Age:,,"(If subject is less than 1 year old, please use a decimal.  Example, 3 months old would be 3/12 = 0.25 years old",number,0.1,100,,,,,,,,
gender,form_4a_demographic_and_exposure_information,,radio,Gender:,"1, Male | 2, Female",,,,,,,,,,,,
pregnant,form_4a_demographic_and_exposure_information,Pregnancy,radio,"Is the subject pregnant?","0, No | 1, Yes | 99, Unknown",,,,,,"[gender] = '2'",,,,pregnancy,,
pregnancyweeks,form_4a_demographic_and_exposure_information,,text,"How many weeks along is the subject?",,"""99"" for unknown",,,,,"[gender] = '2' and [pregnant] = '1'",,,,,,
breastfeeding,form_4a_demographic_and_exposure_information,Breastfeeding,radio,"Is the subject breastfeeding?","0, No | 1, Yes | 99, Unknown",,,,,,"[gender] = '2'",,,,breastfeeding,,
menses,form_4a_demographic_and_exposure_information,Hormones,radio,"Has the subject had a menses in the past 12 months?","0, No | 1, Yes | 99, Unknown",,,,,,"[gender] = '2'",,,,hormones,,
bcmethod,form_4a_demographic_and_exposure_information,,radio,"Is the subject currently using a birth control method?","0, No | 1, Yes | 99, Unknown",,,,,,"[gender] = '2'",,,,hormones,,
hormonert,form_4a_demographic_and_exposure_information,,radio,"Is the subject currently taking hormone replacement therapy?","0, No | 1, Yes | 99, Unknown",,,,,,"[menses] = '0'",,,,,,
hormonert_specify,form_4a_demographic_and_exposure_information,,text,"Which hormone therapy?",,,,,,,"[hormonert] = '1'",,,,,,
birthcontrolmethod,form_4a_demographic_and_exposure_information,,radio,"Which method does the subject use for birth control?","1, Birth control pills (oral contraceptives) | 2, Birth control patch | 3, Birth control shot | 4, Vaginal ring | 5, IUD | 6, Barrier method (Condom or Female condom) | 7, Other",,,,,,"[bcmethod] = '1'",,,,,,
birthcontrolother,form_4a_demographic_and_exposure_information,,text,Specify:,,"(e.g., cervical cap, diaphragm, sponge, implant, ect.)",,,,,"[birthcontrolmethod] = '7'",,,,,,
birthcontrollpillsspecify,form_4a_demographic_and_exposure_information,,text,"Specify name of birth control pills:",,,,,,,"[birthcontrolmethod] = '1'",,,,,,
ethnicity,form_4a_demographic_and_exposure_information,,radio,Ethnicity:,"1, Hispanic or Latino | 2, Non-Hispanic or Latino | 99, Unknown",,,,,,,,,,enthnic,,
race,form_4a_demographic_and_exposure_information,Race:,radio,Race:,"1, American Indian or Alaska Native | 2, Asian | 3, Native Hawaiian or Other Pacific Islander | 4, Black or African American | 5, White | 99, Unknown | 7, Other",,,,,,,,,,race,,
raceothersp,form_4a_demographic_and_exposure_information,,text,Specify:,,,,,,,"[race] = '7'",,,,,,
heightin,form_4a_demographic_and_exposure_information,,text,"Height (inches):",,"(calculate from ft & in, e.g. 5ft, 3in = 63 inches)",number,,,,,,,,,,
weightlb,form_4a_demographic_and_exposure_information,,text,"Weight (pounds):",,(lbs),number,,,,,,,,,,
bmi,form_4a_demographic_and_exposure_information,,text,BMI:,,,,,,,,,,,,,
zipcode,form_4a_demographic_and_exposure_information,,text,"First 3 numbers of subject's zip code:",,,integer,0,999,,,,,,,,
wherereside,form_4a_demographic_and_exposure_information,,radio,"What is the subject's primary living situation?","1, Private residence | 2, Long term facility/nursing home (including rehabilitation facility) | 3, Retirement home/assisted living | 4, Dormitory | 5, Homeless/shelter | 99, Unknown | 7, Other",,,,,,,,,,,,
wherereside_othersp,form_4a_demographic_and_exposure_information,,text,Specify:,,,,,,,"[wherereside] = '7'",,,,,,
employed,form_4a_demographic_and_exposure_information,,radio,"Is the subject currently employed (working for pay)?","0, No | 1, Yes",,,,,,,,,,,,
workhours,form_4a_demographic_and_exposure_information,,text,"How many hours a week does the subject typically work?",,,,,,,"[employed] = '1'",,,,,,
education,form_4a_demographic_and_exposure_information,,radio,"What is the highest level of education?","1, Elementary School | 2, High School | 3, Trade School | 4, College | 5, Graduate School | 6, Unknown | 7, Other",,,,,,,,,,,,
educationother,form_4a_demographic_and_exposure_information,,text,Specify:,,,,,,,"[education] = '7'",,,,,,
fluvaccine,form_4a_demographic_and_exposure_information,"Influenza Vaccination Information",radio,"Did the subject receive an influenza vaccine this year?","0, No | 1, Yes | 99, Unknown",,,,,,,,,,vaccine,,
fluvaccine_date,form_4a_demographic_and_exposure_information,,radio,"Is the date known?","0, No | 1, Yes","Between September and April of current influenza season",,,,,"[fluvaccine] = '1'",,,,,,
fluvaccine_admin,form_4a_demographic_and_exposure_information,,text,"When was the vaccine administered?",,(mm/dd/yyyy),date_mdy,,,,"[fluvaccine] = '1' and [fluvaccine_date] = '1'",,,,,,
vaccine_admin,form_4a_demographic_and_exposure_information,,radio,"How was the vaccine administered?","1, Injection/Shot | 2, Nasal Spray | 99, Unknown",,,,,,"[fluvaccine] = '1'",,,,,,
exposure,form_4a_demographic_and_exposure_information,,radio,"Within the past 5 days has the subject had contact with any animals besides pets? (for example, farm animals, wild animals, animals related to industrial food preparation)","0, No | 1, Yes | 99, Unknown",,,,,,,,,,,,
exposure_poultry,form_4a_demographic_and_exposure_information,,radio,"Exposed to poultry?","0, No | 1, Yes | 99, Unknown",,,,,,"[exposure] = '1'",,,,,,
exposure_poultry_duration,form_4a_demographic_and_exposure_information,,text,"Duration of poultry exposure?",,Days,,,,,"[exposure_poultry] = '1'",,,,,,
exposure_birds,form_4a_demographic_and_exposure_information,,radio,"Exposed to wild birds?","0, No | 1, Yes | 99, Unknown",,,,,,"[exposure] = '1'",,,,,,
exposure_birds_duration,form_4a_demographic_and_exposure_information,,text,"Duration of wild birds exposure?",,Days,,,,,"[exposure_birds] = '1'",,,,,,
exposure_swine,form_4a_demographic_and_exposure_information,,radio,"Exposed to swine?","0, No | 1, Yes | 99, Unknown",,,,,,"[exposure] = '1'",,,,,,
exposure_swine_duration,form_4a_demographic_and_exposure_information,,text,"Duration of swine exposure?",,Days,,,,,"[exposure_swine] = '1'",,,,,,
largefarm,form_4a_demographic_and_exposure_information,"Type of exposure: (i.e. setting in which exposed to animals)",radio,"Large Farm (confined animal feeding)","0, No | 1, Yes | 99, Unknown",,,,,,"[exposure] = '1'",,,,exposuretype,,
flock,form_4a_demographic_and_exposure_information,,radio,"Backyard Flock","0, No | 1, Yes | 99, Unknown",,,,,,"[exposure] = '1'",,,,exposuretype,,
farm,form_4a_demographic_and_exposure_information,,radio,Farm,"0, No | 1, Yes | 99, Unknown",,,,,,"[exposure] = '1'",,,,exposuretype,,
foodprep,form_4a_demographic_and_exposure_information,,radio,"Food Preparation","0, No | 1, Yes | 99, Unknown",,,,,,"[exposure] = '1'",,,,exposuretype,,
slaughter,form_4a_demographic_and_exposure_information,,radio,Slaughterhouse,"0, No | 1, Yes | 99, Unknown",,,,,,"[exposure] = '1'",,,,exposuretype,,
exposeunk,form_4a_demographic_and_exposure_information,,radio,Unknown,"0, No | 1, Yes | 99, Unknown",,,,,,"[exposure] = '1'",,,,exposuretype,,
exposeother,form_4a_demographic_and_exposure_information,,radio,Other,"0, No | 1, Yes | 99, Unknown",,,,,,"[exposure] = '1'",,,,exposuretype,,
exposeotherspec,form_4a_demographic_and_exposure_information,,text,Specify:,,,,,,,"[exposeother] = '1'",,,,,,
exposehuman,form_4a_demographic_and_exposure_information,,radio,"Within the past 5 days has the subject been exposed to human with confirmed influenza?","0, No | 1, Yes | 99, Unknown",,,,,,,,,,,,
exposehumanduration,form_4a_demographic_and_exposure_information,,text,"Duration of human exposure?",,,,,,,"[exposehuman] = '1'",,,,,,
travel,form_4a_demographic_and_exposure_information,,radio,"Has the subject traveled at all in the past 30 days?","0, No | 1, Yes | 99, Unknown",,,,,,,,,,,,
traveldest,form_4a_demographic_and_exposure_information,,notes,"List all travel destinations for the subject over the past month.",,,,,,,"[travel] = '1'",,,,,,
subjectnotes,form_4a_demographic_and_exposure_information,,notes,"Subject Notes:",,,,,,,,,,,,,
cursympt_fever,form_5a_current_symptoms,"Current Symptoms",radio,Fever?,"0, No | 1, Yes | 99, Unknown","If yes or unknown and enrolled as ""asymptomatic"", immediately confirm symptom; discontinue if subject confirms symptom in past 7 days",,,,,,,,,,,
cursympt_feverrec,form_5a_current_symptoms,,radio,"Was it recorded?","1, Yes | 0, No",,,,,,"[cursympt_fever] = '1'",,,,,,
cursympt_feverdeg,form_5a_current_symptoms,,text,"What was the temperature?",,,number_1dp,,,,"[cursympt_fever] = '1' and [cursympt_feverrec] = '1'",,,,,,
cursympt_cough,form_5a_current_symptoms,,radio,"New or increased cough?","0, No | 1, Yes | 99, Unknown","If yes or unknown and enrolled as ""asymptomatic"", immediately confirm symptom; discontinue if subject confirms symptom in past 7 days",,,,,,,,,,,
cursympt_coughsputum,form_5a_current_symptoms,,radio,"Did they cough up sputum?","0, No | 1, Yes | 99, Unknown",,,,,,"[cursympt_cough] = '1'",,,,,,
cursympt_incrsputum,form_5a_current_symptoms,,radio,"Did they have an increase in sputum production?","0, No | 1, Yes | 99, Unknown",,,,,,"[cursympt_cough] = '1'",,,,,,
cursympt_headache,form_5a_current_symptoms,,radio,Headache?,"0, No | 1, Yes | 99, Unknown","If yes or unknown and enrolled as ""asymptomatic"", immediately confirm symptom; discontinue if subject confirms symptom in past 7 days",,,,,,,,,,,
cursympt_sorethroat,form_5a_current_symptoms,,radio,"Sore throat?","0, No | 1, Yes | 99, Unknown","If yes or unknown and enrolled as ""asymptomatic"", immediately confirm symptom; discontinue if subject confirms symptom in past 7 days",,,,,,,,,,,
cursympt_bodyaches,form_5a_current_symptoms,,radio,"Body aches?","0, No | 1, Yes | 99, Unknown","If yes or unknown and enrolled as ""asymptomatic"", immediately confirm symptom; discontinue if subject confirms symptom in past 7 days",,,,,,,,,,,
cursympt_rhinorrhea,form_5a_current_symptoms,,radio,"Rhinorrhea/nasal congestion?","0, No | 1, Yes | 99, Unknown","If yes or unknown and enrolled as ""asymptomatic"", immediately confirm symptom; discontinue if subject confirms symptom in past 7 days",,,,,,,,,,,
cursympt_shortnessbreath,form_5a_current_symptoms,,radio,"New or increased shortness of breath?","0, No | 1, Yes | 99, Unknown",,,,,,,,,,,,
cursympt_sinuspain,form_5a_current_symptoms,,radio,"Sinus pain?","0, No | 1, Yes | 99, Unknown",,,,,,,,,,,,
cursympt_wheezing,form_5a_current_symptoms,,radio,Wheezing?,"0, No | 1, Yes | 99, Unknown",,,,,,,,,,,,
cursympt_fatigue,form_5a_current_symptoms,,radio,Fatigue?,"0, No | 1, Yes | 99, Unknown",,,,,,,,,,,,
cursympt_getoutofbed,form_5a_current_symptoms,,radio,"Have they been able to get out of bed?","0, No | 1, Yes | 99, Unknown",,,,,,"[cursympt_fatigue] = '1'",,,,,,
cursympt_chestpain,form_5a_current_symptoms,,radio,"Chest pain?","0, No | 1, Yes | 99, Unknown",,,,,,,,,,,,
cursympt_chesthurt,form_5a_current_symptoms,,radio,"Does their chest hurt when they breathe?","0, No | 1, Yes | 99, Unknown",,,,,,"[cursympt_chestpain] = '1'",,,,,,
cursympt_shakingchills,form_5a_current_symptoms,,radio,Chills?,"0, No | 1, Yes | 99, Unknown",,,,,,,,,,,,
cursympt_appetite,form_5a_current_symptoms,,radio,"Loss of appetite?","0, No | 1, Yes | 99, Unknown",,,,,,,,,,,,
cursympt_nausea,form_5a_current_symptoms,,radio,Nausea/vomiting?,"0, No | 1, Yes | 99, Unknown",,,,,,,,,,,,
cursympt_diarrhea,form_5a_current_symptoms,,radio,Diarrhea?,"0, No | 1, Yes | 99, Unknown",,,,,,,,,,,,
cursympt_stomachpain,form_5a_current_symptoms,,radio,"Stomach pain?","0, No | 1, Yes | 99, Unknown",,,,,,,,,,,,
cursympt_conjunctivitis,form_5a_current_symptoms,,radio,Conjunctivitis?,"0, No | 1, Yes | 99, Unknown",,,,,,,,,,,,
cursympt_other,form_5a_current_symptoms,,radio,"Other symptoms?","0, No | 1, Yes | 99, Unknown",,,,,,,,,,,,
cursympt_othersp,form_5a_current_symptoms,,text,"Specify other symptoms:",,,,,,,"[cursympt_other] = '1'",,,,,,
cursympt_days,form_5a_current_symptoms,,text,"How many days has the subject had symptoms for?",,,,,,,"[cursympt_fever] = '1' or [cursympt_cough] = '1' or [cursympt_headache] = '1' or [cursympt_sorethroat] = '1' or [cursympt_bodyaches] = '1' or [cursympt_rhinorrhea] = '1' or [cursympt_shortnessbreath] = '1' or [cursympt_sinuspain] = '1' or [cursympt_wheezing] = '1' or [cursympt_fatigue] = '1' or [cursympt_getoutofbed] = '1' or [cursympt_chestpain] = '1' or [cursympt_shakingchills] = '1' or [cursympt_appetite] = '1' or [cursympt_nausea] = '1' or [cursympt_diarrhea] = '1' or [cursympt_stomachpain] = '1' or [cursympt_conjunctivitis] = '1'",,,,,,
admit,form_6a_medical_history,,radio,"Has the subject been admitted to the hospital (i.e. stayed overnight) within the past 30 days>","0, No | 1, Yes | 99, Unknown",,,,,,,,,,,,
admitdays,form_6a_medical_history,,text,"How many days was the subject admitted for?",,days,,,,,"[admit] = '1'",,,,,,
admitdisc,form_6a_medical_history,,text,"When was the subject discharged?",,,date_mdy,,,,"[admit] = '1'",,,,,,
edchrev_ab_ed,form_6a_medical_history,,radio,"Has the subject taken any antibiotics within the past 30 days?","0, No | 1, Yes | 99, Unknown",,,,,,,,,,,,
edchrev_ab_ed_num,form_6a_medical_history,,dropdown,"If yes, how many antibiotics were received? ","1, 1 | 2, 2 | 3, 3 | 4, 4",antibiotics,,,,,"[edchrev_ab_ed] = '1'",,,,,,
medhistabx1name,form_6a_medical_history,,text,"Antibiotic 1 Name:",,,,,,,"[edchrev_ab_ed_num] >= '1'",,,,,,
medhistabx1start,form_6a_medical_history,,text,"Date Started:",,,date_mdy,,,,"[edchrev_ab_ed_num] >= '1'",,,,,,
medhistabx1days,form_6a_medical_history,,text,"Days Taken for:",,days,,,,,"[edchrev_ab_ed_num] >= '1'",,,,,,
medhistabx1ind,form_6a_medical_history,,text,Indication:,,,,,,,"[edchrev_ab_ed_num] >= '1'",,,,,,
medhistabx2name,form_6a_medical_history,,text,"Antibiotic 2 Name:",,,,,,,"[edchrev_ab_ed_num] >= '2'",,,,,,
medhistabx2start,form_6a_medical_history,,text,"Date Started:",,,date_mdy,,,,"[edchrev_ab_ed_num] >= '2'",,,,,,
medhistabx2days,form_6a_medical_history,,text,"Days Taken for:",,days,,,,,"[edchrev_ab_ed_num] >= '2'",,,,,,
medhistabx2ind,form_6a_medical_history,,text,Indication:,,,,,,,"[edchrev_ab_ed_num] >= '2'",,,,,,
medhistabx3name,form_6a_medical_history,,text,"Antibiotic 3 Name:",,,,,,,"[edchrev_ab_ed_num] >= '3'",,,,,,
medhistabx3start,form_6a_medical_history,,text,"Date Started:",,,date_mdy,,,,"[edchrev_ab_ed_num] >= '3'",,,,,,
medhistabx3days,form_6a_medical_history,,text,"Days Taken for:",,days,,,,,"[edchrev_ab_ed_num] >= '3'",,,,,,
medhistabx3ind,form_6a_medical_history,,text,Indication:,,,,,,,"[edchrev_ab_ed_num] >= '3'",,,,,,
medhistabx4name,form_6a_medical_history,,text,"Antibiotic 4 Name:",,,,,,,"[edchrev_ab_ed_num] >= '4'",,,,,,
medhistabx4start,form_6a_medical_history,,text,"Date Started:",,,date_mdy,,,,"[edchrev_ab_ed_num] >= '4'",,,,,,
medhistabx4days,form_6a_medical_history,,text,"Days Taken for:",,days,,,,,"[edchrev_ab_ed_num] >= '4'",,,,,,
medhistabx4ind,form_6a_medical_history,,text,Indication:,,,,,,,"[edchrev_ab_ed_num] >= '4'",,,,,,
medhistav,form_6a_medical_history,,radio,"Has the subject taken any influenza antivirals within the past 30 days?","0, No | 1, Yes | 99, Unknown",,,,,,,,,,,,
medhistavname,form_6a_medical_history,,text,"Name of influenza antiviral:",,,,,,,"[medhistav] = '1'",,,,,,
medhistavdate,form_6a_medical_history,,text,"Date the subject started the antiviral:",,,date_mdy,,,,"[medhistav] = '1'",,,,,,
medhistavdays,form_6a_medical_history,,text,"How many days did the subject take the antiviral for?",,days,,,,,"[medhistav] = '1'",,,,,,
curmedsteroids,form_6a_medical_history,,radio,"Is the subject currently taking steroids (pill or injections)?","0, No | 1, Yes | 99, Unknown",,,,,,,,,,,,
curmedsteroidsn,form_6a_medical_history,,dropdown,"How many steroids is the subject taking?","1, 1 | 2, 2 | 3, 3 | 4, 4",,,,,,"[curmedsteroids] = '1'",,,,,,
curmedsteroid1name,form_6a_medical_history,,text,"Steroid 1 Name:",,,,,,,"[curmedsteroidsn] = '1' or [curmedsteroidsn] = '2' or [curmedsteroidsn] = '3' or [curmedsteroidsn] = '4'",,,,,,
curmedsteriod1dose,form_6a_medical_history,,text,"Steroid 1 Dose:",,,,,,,"[curmedsteroidsn] = '1' or [curmedsteroidsn] = '2' or [curmedsteroidsn] = '3' or [curmedsteroidsn] = '4'",,,,,,
curmedsteroid2name,form_6a_medical_history,,text,"Steroid 2 Name:",,,,,,,"[curmedsteroidsn] = '2' or [curmedsteroidsn] = '3' or [curmedsteroidsn] = '4'",,,,,,
curmedsteroid2dose,form_6a_medical_history,,text,"Steroid 2 Dose:",,,,,,,"[curmedsteroidsn] = '2' or [curmedsteroidsn] = '3' or [curmedsteroidsn] = '4'",,,,,,
curmedsteroid3name,form_6a_medical_history,,text,"Steroid 3 Name:",,,,,,,"[curmedsteroidsn] = '3' or [curmedsteroidsn] = '4'",,,,,,
curmedsteroid3dose,form_6a_medical_history,,text,"Steroid 3 Dose:",,,,,,,"[curmedsteroidsn] = '3' or [curmedsteroidsn] = '4'",,,,,,
curmedsteroid4name,form_6a_medical_history,,text,"Steroid 4 Name:",,,,,,,"[curmedsteroidsn] = '4'",,,,,,
curmedsteroid4dose,form_6a_medical_history,,text,"Steroid 4 Dose:",,,,,,,"[curmedsteroidsn] = '4'",,,,,,
curmedimmunosup,form_6a_medical_history,,radio,"Is the subject taking any medications that suppress their immune system?","0, No | 1, Yes | 99, Unknown",,,,,,,,,,,,
curmedimmunosupsp,form_6a_medical_history,,checkbox,"Which medications? (Check all that apply)","1, Methotrexate | 2, Tacrolimus (Prograf) | 3, Mycophenolate | 4, Other","*Please see Appendix A for a list of additional immunosuppressive medications",,,,,"[curmedimmunosup] = '1'",,,,,,
curmedimmunosupothersp,form_6a_medical_history,,text,Specify:,,,,,,,"[curmedimmunosup] = '1' and [curmedimmunosupsp(4)] = '1'",,,,,,
pastmedchronlundis,form_6a_medical_history,"Past Medical History",radio,"Does the subject have Chronic Lung Disease?","0, No | 1, Yes | 99, Unknown",,,,,,,,,,,,
pastmedchronlundisasth,form_6a_medical_history,,radio,Asthma?,"0, No | 1, Yes | 99, Unknown",,,,,,"[pastmedchronlundis] = '1'",,,,,,
pastmedchronlundiscopd,form_6a_medical_history,,radio,COPD?,"0, No | 1, Yes | 99, Unknown",,,,,,"[pastmedchronlundis] = '1'",,,,,,
pastmedchronlundiscystfib,form_6a_medical_history,,radio,"Cystic Fibrosis?","0, No | 1, Yes | 99, Unknown",,,,,,"[pastmedchronlundis] = '1'",,,,,,
pastmedchronlundisother,form_6a_medical_history,,radio,Other?,"0, No | 1, Yes | 99, Unknown",,,,,,"[pastmedchronlundis] = '1'",,,,,,
pastmedchronlundisothersp,form_6a_medical_history,,text,Specify:,,,,,,,"[pastmedchronlundis] = '1' and [pastmedchronlundisother] = '1'",,,,,,
pastmedcvdis,form_6a_medical_history,,radio,"Does the subject have any Cardiovascular Disease?","0, No | 1, Yes | 99, Unknown",,,,,,,,,,,,
pastmedcvdiscorartdis,form_6a_medical_history,,radio,"Coronary Artery Disease?","0, No | 1, Yes | 99, Unknown",,,,,,"[pastmedcvdis] = '1'",,,,,,
pastmedcvdiscongesthrtfail,form_6a_medical_history,,radio,"Congestive Heart Failure?","0, No | 1, Yes | 99, Unknown",,,,,,"[pastmedcvdis] = '1'",,,,,,
pastmedcvdiscardiomyop,form_6a_medical_history,,radio,Cardiomyopathy?,"0, No | 1, Yes | 99, Unknown",,,,,,"[pastmedcvdis] = '1'",,,,,,
pastmedcvdisvalvdis,form_6a_medical_history,,radio,"Vascular Disease?","0, No | 1, Yes | 99, Unknown",,,,,,"[pastmedcvdis] = '1'",,,,,,
pastmedcvdiscongenhdis,form_6a_medical_history,,radio,"Congenital Heart Disease?","0, No | 1, Yes | 99, Unknown",,,,,,"[pastmedcvdis] = '1'",,,,,,
pastmedcvdisother,form_6a_medical_history,,radio,Other?,"0, No | 1, Yes | 99, Unknown",,,,,,"[pastmedcvdis] = '1'",,,,,,
pastmedcvdisothersp,form_6a_medical_history,,text,Specify:,,,,,,,"[pastmedcvdis] = '1' and [pastmedcvdisother] = '1'",,,,,,
pastmedrenaldis,form_6a_medical_history,,radio,"Does the subject have Renal Disease?","0, No | 1, Yes | 99, Unknown",,,,,,,,,,,,
